agent_name,evaluation,curriculum_name,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
dqn,0,baseline,-0.1791713325867861,1.0,0.0,-49.0,0.0,-49.0,0.0
dqn,1,baseline,-0.2127659574468085,1.0,0.0,-48.0,0.0,-48.0,0.0
dqn,2,baseline,-0.2127659574468085,1.0,0.0,-18.0,0.0,-18.0,0.0
dqn,3,baseline,0.04479283314669653,1.0,0.0,-14.0,0.0,-14.0,0.0
dqn,4,baseline,-0.02799552071668533,1.0,0.0,-2.0,0.0,-2.0,0.0
dqn,5,baseline,-0.16237402015677493,1.0,0.0,-10.0,0.0,-10.0,0.0
dqn,6,baseline,-0.06159014557670772,1.0,0.0,-12.0,0.0,-12.0,0.0
dqn,7,baseline,-0.005599104143337066,1.0,0.0,-1.0,0.0,-1.0,0.0
dqn,8,baseline,-0.05039193729003359,1.0,0.0,4.0,0.0,4.0,0.0
dqn,9,baseline,0.011198208286674132,1.0,0.0,1.0,0.0,1.0,0.0
dqn,10,baseline,-0.005599104143337066,1.0,0.0,-2.0,0.0,-2.0,0.0
